Country/Territory,Country/Territory,All countries/territories,All countries/territories,All countries/territories,The mainland of China,The mainland of China,The mainland of China,Singapore,Singapore,Singapore,United States of America,United States of America,United States of America,United Kingdom,United Kingdom,United Kingdom,Bermuda,Bermuda,Bermuda,British Virgin Islands,British Virgin Islands,British Virgin Islands,Cayman Islands*,Cayman Islands*,Cayman Islands*,Other countries/territories,Other countries/territories,Other countries/territories
External primary income flows,External primary income flows,Inflow,Outflow,Net flow,Inflow,Outflow,Net flow,Inflow,Outflow,Net flow,Inflow,Outflow,Net flow,Inflow,Outflow,Net flow,Inflow,Outflow,Net flow,Inflow,Outflow,Net flow,Inflow,Outflow,Net flow,Inflow,Outflow,Net flow
    Year,Quarter,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million
1995,,391186,381374,9812,32073,28696,3376,18055,20278,-2223,24329,30473,-6144,24911,34639,-9727,23159,26019,-2859,53155,27965,25190,-,-,-,215504,213304,2200
1996,,390943,401616,-10673,39501,31989,7512,21253,21966,-713,24946,32237,-7290,26697,37962,-11264,20893,27723,-6830,58098,40236,17862,-,-,-,199553,209503,-9950
1997,,467459,468570,-1111,52170,43816,8353,23616,26632,-3015,32461,45474,-13013,34262,45841,-11579,19042,23090,-4048,99158,80822,18336,-,-,-,206750,202895,3855
1998,,356919,331353,25567,42750,39417,3333,22629,21460,1169,30712,29827,886,35397,41779,-6382,13029,14504,-1475,61752,23793,37959,10220,17206,-6987,140430,143366,-2935
1999,,364924,338772,26152,42773,42221,552,23273,20189,3084,37036,39181,-2146,41446,32651,8795,15211,19062,-3851,69326,36308,33018,6210,11337,-5127,129648,137822,-8173
2000,,427083,416337,10745,61807,57622,4184,27772,24307,3465,46197,52439,-6242,47669,33877,13792,14127,27778,-13652,73799,54103,19696,8480,13877,-5397,147234,152334,-5101
2001,,377078,346625,30453,73105,64882,8223,15128,13280,1849,49561,43518,6042,39555,24140,15414,8702,18084,-9382,77592,63803,13789,9592,8304,1288,103844,110615,-6771
2002,,326862,318472,8390,76477,62520,13957,10465,11492,-1027,38800,40559,-1759,25065,23888,1178,10448,8726,1722,80008,58951,21058,7135,9082,-1948,78463,103254,-24791
2003,,340401,308175,32226,84181,57699,26482,8160,7343,817,33431,41949,-8518,25514,21317,4197,13756,16084,-2327,92627,64133,28494,5985,9165,-3180,76747,90485,-13738
2004,,410223,382245,27978,113668,86524,27144,13998,17023,-3025,39101,38929,172,38567,24670,13897,15573,18582,-3009,89692,75872,13820,8097,10794,-2697,91527,109851,-18324
2005,,510356,502892,7464,135147,113320,21827,24733,25653,-920,51032,55842,-4809,41028,30276,10752,24533,30817,-6284,113210,90630,22580,11529,11879,-350,109144,144475,-35331
2006,,659950,624437,35513,183911,146391,37520,28505,31261,-2756,69673,58927,10746,48882,39930,8953,25355,32648,-7293,132838,119522,13316,15750,12049,3702,155036,183710,-28674
2007,,903214,850403,52811,260406,204224,56182,47366,43301,4065,78075,90161,-12086,70385,60777,9608,29001,28647,354,190674,165882,24792,31402,20011,11391,195906,237401,-41495
2008,,940939,840432,100507,332870,233696,99174,29246,38570,-9324,72438,76857,-4420,55985,50187,5798,31772,30380,1392,212746,194242,18504,24019,10054,13965,181863,206445,-24582
2009,,787215,737453,49762,303420,204829,98591,13987,22568,-8581,49007,55739,-6732,27763,38319,-10556,28178,46147,-17969,231454,201013,30441,22728,14989,7740,110679,153850,-43172
2010,,929741,892145,37596,359128,265807,93320,16844,25768,-8923,43163,52601,-9437,24483,43945,-19462,45096,50559,-5462,285328,230579,54749,39574,28591,10983,116124,194296,-78172
2011,,1059351,1006526,52826,431908,282092,149816,14494,28690,-14195,41875,75281,-33406,29619,38944,-9325,46828,54752,-7924,334619,273073,61546,39183,20885,18298,120825,232809,-111984
2012,,1091235,1061779,29455,470513,288775,181738,17077,25563,-8486,39910,87336,-47426,26269,49745,-23476,67215,96867,-29652,301975,263881,38094,48294,23908,24386,119981,225704,-105722
2013,,1183568,1143049,40519,526762,310878,215884,16751,32500,-15749,36975,85722,-48747,30506,51689,-21184,59400,72149,-12749,323734,308189,15546,59162,27729,31433,130278,254194,-123915
2014,,1254733,1208126,46607,558112,326660,231452,22772,33864,-11092,38781,73024,-34242,29534,64053,-34519,46449,70143,-23694,352079,327047,25031,73789,39075,34714,133217,274260,-141043
2015,,1274457,1230080,44376,574117,297884,276232,16923,35396,-18473,43573,87602,-44029,54969,80284,-25315,42392,73021,-30629,329701,327873,1828,80277,63876,16401,132505,264145,-131640
2016,,1273534,1210941,62593,557978,289738,268240,21293,36275,-14981,53023,93223,-40200,47213,58161,-10948,49477,41545,7932,283136,304664,-21528,88901,85102,3798,172512,302233,-129721
2017,,1422665,1307113,115552,564995,294344,270651,24819,42208,-17389,70614,101082,-30467,42835,64760,-21925,81940,53896,28044,321399,338013,-16614,128345,92637,35708,187718,320173,-132455
2018,,1630576,1495761,134815,632815,354184,278630,26020,55605,-29585,94786,133267,-38481,45262,81630,-36368,61251,48321,12930,348808,393752,-44944,145439,74133,71306,276195,354868,-78673
2019,,1673829,1530112,143717,668224,382915,285310,32907,50260,-17352,104709,143648,-38938,55535,155706,-100171,67815,44931,22884,342593,371762,-29169,157319,95629,61691,244726,285263,-40537
2020,,1544587,1388504,156083,690999,357683,333316,26628,50120,-23491,93657,116848,-23192,20141,157575,-137433,73813,41591,32222,319264,306070,13193,162460,111680,50780,157625,246938,-89313
2021,,1639647,1434679,204968,752871,378343,374528,51108,36497,14611,72764,91358,-18594,15288,90990,-75702,82963,76345,6618,348966,373089,-24123,166310,102465,63845,149378,285593,-136215
1999,1,81848,76321,5527,11004,10478,527,5456,4497,958,9212,8546,665,10474,8141,2333,2928,2943,-16,10457,6316,4141,1587,2835,-1248,30730,32565,-1834
1999,2,91790,86173,5617,10988,8415,2573,5656,5410,246,8925,8624,301,9335,7867,1468,4485,4073,412,19224,11587,7638,1282,3677,-2394,31893,36520,-4626
1999,3,90047,82791,7256,10034,9588,445,6021,5122,900,9664,10326,-661,11695,7326,4370,3376,4989,-1613,16957,7055,9902,1475,2478,-1004,30824,35907,-5083
1999,4,101239,93487,7752,10747,13740,-2993,6139,5160,980,9235,11685,-2450,9942,9318,624,4422,7057,-2635,22688,11350,11338,1866,2347,-481,36201,32830,3371
