2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Period
6,9.2,9,11.6,13.4,14.6,14.6,18.5,18,20.4,23.5,25.2,30.8,36.3,"Manufacture of textiles, wearing apparel, leather and related products_No. (000)"
88.2,95.3,95.7,92.2,98.3,103.2,98.9,111.5,108.3,113,109.4,107.6,119.1,129.4,Other manufacturing_No. (000)
255,239.8,264.5,269.9,263.4,255.1,244.3,239.1,236.4,222.3,206.4,198.4,201.5,202.4,Foundation and superstructure_No. (000)
70.9,70.9,74.1,82.4,79.4,73.3,72.4,70.6,72.7,67.8,70.7,66.5,60.9,63,"Decoration, repair and maintenance for buildings_No. (000)"
298.9,310.7,360.6,409.9,411.3,421.4,436.6,453.6,475.8,513,495.7,504.9,519.6,541.7,Import and export trade_No. (000)
17.5,20.6,30.7,37.4,39.3,44.1,43.6,48.6,46.6,48.9,43.1,42.2,42.5,47.1,Wholesale_No. (000)
268.6,277.5,316.8,335.2,344,333.2,340.2,344,331.7,320.7,312.3,299.4,291,292.6,Retail_No. (000)
247.5,242.8,294.9,297.7,294.9,286.3,284.9,289.4,277.6,266.3,265.6,258.4,253.6,259.2,Accommodation[3] and  food services_No. (000)
274.5,279.7,297.8,299.7,300.2,295.6,303.6,303.6,304.7,296.4,299.5,298.7,299.2,303.8,Transportation and storage_No. (000)
22.9,20.7,18.9,18.4,19.2,19,19.9,18.1,17.7,17.6,18,18,19.4,20.6,Postal and courier activities_No. (000)
132.8,137.1,135.1,135.2,135.2,135.1,131.1,123.9,121.9,120.1,116.7,105.4,104.8,109.4,Information and communications_No. (000)
217.8,217.9,209.5,200.1,190.2,184.9,184.5,182.4,180.8,177.8,173.4,163.3,164.4,160.8,Financing_No. (000)
69.9,69.5,72.9,68.3,68.1,61.1,56.4,54.6,50.3,49.5,47.1,42.9,45.2,43.2,Insurance_No. (000)
164.8,158.4,163,160.4,158,150.9,154.9,154.2,150.6,148.9,146.5,146.2,132.6,134.1,Real estate_No. (000)
409.8,406.8,394.3,368.5,364.3,365.4,354.4,341.3,332.5,314.5,309,288.9,294.4,300.7,Professional and business services_No. (000)
135.1,127.2,120.7,116.9,114.9,114.4,111.2,108.5,111.2,105.2,107.1,110.5,103.7,115.9,Public administration_No. (000)
221.2,226.5,233.4,227.9,216.6,214.2,217,205.6,199.9,198.9,196.4,185.2,183.5,173.5,Education_No. (000)
234.5,238.2,226.1,213.5,203.9,195,192.6,179.5,188.8,180,168.7,162.9,164.6,152.1,Human health and social work activities _No. (000)
52.6,53.1,59.3,58.2,58.1,58.2,59.3,56.2,56.5,53.1,54.1,52.1,50.4,47.9,"Arts, entertainment and recreation_No. (000)"
458.7,465.7,468.5,457.7,438.5,436.2,428.4,417.6,418.7,399.7,389.2,373.9,364.8,353.9,Other service activities_No. (000)
22.9,23.3,25.7,23.6,21.2,26,25.1,22.6,23.4,24,24.1,23.4,21.4,21.5,Other industries_No. (000)
3670.2,3690.9,3871.4,3884.6,3832.4,3787.1,3773.8,3743.5,3724,3658,3576.4,3474.1,3467.6,3509.1,Overall_No. (000)
