Type Of Industry,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Manufacture of textiles, wearing apparel, leather and related products_No. (000)",36.3,30.8,25.2,23.5,20.4,18,18.5,14.6,14.6,13.4,11.6,9,9.2,6
Other manufacturing_No. (000),129.4,119.1,107.6,109.4,113,108.3,111.5,98.9,103.2,98.3,92.2,95.7,95.3,88.2
Foundation and superstructure_No. (000),202.4,201.5,198.4,206.4,222.3,236.4,239.1,244.3,255.1,263.4,269.9,264.5,239.8,255
"Decoration, repair and maintenance for buildings_No. (000)",63,60.9,66.5,70.7,67.8,72.7,70.6,72.4,73.3,79.4,82.4,74.1,70.9,70.9
Import and export trade_No. (000),541.7,519.6,504.9,495.7,513,475.8,453.6,436.6,421.4,411.3,409.9,360.6,310.7,298.9
Wholesale_No. (000),47.1,42.5,42.2,43.1,48.9,46.6,48.6,43.6,44.1,39.3,37.4,30.7,20.6,17.5
Retail_No. (000,292.6,291,299.4,312.3,320.7,331.7,344,340.2,333.2,344,335.2,316.8,277.5,268.6
Accommodation[3] and  food services_No. (000),259.2,253.6,258.4,265.6,266.3,277.6,289.4,284.9,286.3,294.9,297.7,294.9,242.8,247.5
Transportation and storage_No. (000),303.8,299.2,298.7,299.5,296.4,304.7,303.6,303.6,295.6,300.2,299.7,297.8,279.7,274.5
Postal and courier activities_No. (000),20.6,19.4,18,18,17.6,17.7,18.1,19.9,19,19.2,18.4,18.9,20.7,22.9
Information and communications_No. (000),109.4,104.8,105.4,116.7,120.1,121.9,123.9,131.1,135.1,135.2,135.2,135.1,137.1,132.8
Financing_No. (000),160.8,164.4,163.3,173.4,177.8,180.8,182.4,184.5,184.9,190.2,200.1,209.5,217.9,217.8
Insurance_No. (000),43.2,45.2,42.9,47.1,49.5,50.3,54.6,56.4,61.1,68.1,68.3,72.9,69.5,69.9
Real estate_No. (000),134.1,132.6,146.2,146.5,148.9,150.6,154.2,154.9,150.9,158,160.4,163,158.4,164.8
Professional and business services_No. (000),300.7,294.4,288.9,309,314.5,332.5,341.3,354.4,365.4,364.3,368.5,394.3,406.8,409.8
Public administration_No. (000),115.9,103.7,110.5,107.1,105.2,111.2,108.5,111.2,114.4,114.9,116.9,120.7,127.2,135.1
Education_No. (000),173.5,183.5,185.2,196.4,198.9,199.9,205.6,217,214.2,216.6,227.9,233.4,226.5,221.2
Human health and social work activities _No. (000),152.1,164.6,162.9,168.7,180,188.8,179.5,192.6,195,203.9,213.5,226.1,238.2,234.5
"Arts, entertainment and recreation_No. (000)",47.9,50.4,52.1,54.1,53.1,56.5,56.2,59.3,58.2,58.1,58.2,59.3,53.1,52.6
Other service activities_No. (000),353.9,364.8,373.9,389.2,399.7,418.7,417.6,428.4,436.2,438.5,457.7,468.5,465.7,458.7
Other industries_No. (000),21.5,21.4,23.4,24.1,24,23.4,22.6,25.1,26,21.2,23.6,25.7,23.3,22.9
