DATE,TV_LIC_QTY,DO_FREE_TV_LIC_QTY,DO_PAY_TV_LIC_QTY,NON_DO_TV_LIC_QTY,OTHER_TV_LIC_QTY,DTT_RATE,DO_PAY_PEN_RATE,TV_AUD_QTY,TV_HH_QTY,DO_PAY_TV_USER_QTY,SOUND_LIC_QTY,MNO_QTY,MVNO_QTY,LOCAL_FNO_QTY,EXT_FNO_QTY,FB_EXT_FNO_QTY,SB_EXT_FNO_QTY,RES_LINE_PEN_RATE,MOBL_PEN_RATE,MOBL_USERS_QTY,MOBL_BB_USERS_QTY,ISP_QTY,BB_USERS_QTY,HH_PEN_RATE,FTTHB_PEN_RATE,FTTH_PEN_RATE,FTTB_PEN_RATE,WIFI_AP_QTY
Sep-22,34,3,2,9,20,,,,,,2,5,22,27,206,40,166,,,,,301,,,,,,86218
Aug-22,34,3,2,9,20,,,,,,2,5,22,27,207,41,166,,,,,302,,,,,,86003
Jul-22,34,3,2,9,20,,,,,,2,5,24,27,210,41,169,77.34,,,,300,2953238,99.3,84.4,66.4,18,86003
Jun-22,34,3,2,9,20,,77.8,,,2061000,2,5,24,27,209,41,168,,325.3,24384472,24325027,297,2947730,99.2,84.1,65.9,18.2,85691
May-22,34,3,2,9,20,,,,,,2,5,24,27,208,41,167,78.19,327.9,24947644,24892651,296,2938703,98.7,83.4,65,18.4,83113
Apr-22,,,,,,,,,,,,,,,,,,,335.8,25534800,25479755,,,,,,,
Mar-22,34,3,2,9,20,,,,,,2,5,24,27,209,42,167,78.44,341.1,26094470,26036132,294,2935378,98,82.6,63.8,18.8,83095
Feb-22,34,3,2,9,20,,,,,,2,5,24,27,209,42,167,,347.6,26569062,26511212,291,2940217,98.2,82.6,63.6,19,80660
Jan-22,34,3,2,9,20,,,,,,2,5,24,27,209,42,167,,,,,290,,,,,,
Dec-21,34,3,2,9,20,,78.2,,,2088000,2,5,24,27,209,42,167,78.26,323.4,24816488,24756959,289,2933087,96.6,81,62.1,18.9,79035
Nov-21,35,3,2,10,20,94.9,,6497000,2555000,,2,5,24,27,208,42,166,,320,24562461,24504881,288,,,,,,78674
